等待期,重大疾病保险金_给付数,重大疾病保险金_等待期,是否有多次给付_是否有多次给付给付次数,观察期
无,1,{'default': 90},{'default': 1},无
无,1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 90},1,{'default': 90},{'default': 1},"{'终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '深度昏迷': '96时', '植物人状态': '30日', '神经异常症状': '6月', '原发性心肌病': '180日', '严重的类风湿性关节炎': '6月'}"
{'default': 180},1,无,{'default': 1},无
{'default': 90},1,{'default': 90},无,无
{'default': 90},1,{'default': 90},{'default': 1},无
{'default': 90},1,{'default': 10},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 90},1,{'default': 90},{'default': 1},{'default': '90日'}
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 180},1,{'default': 180},无,{'default': '180日'}
{'default': 30},1,{'default': 30},{'default': 1},不详
{'default': 90},1,{'default': 90},{'default': 1},不详
无,1,无,无,不详
{'default': 180},1,{'default': 180},{'轻症疾病保险金、重大疾病保险金': 2},不详
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
无,无,无,无,无
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 365},1,{'default': 365},无,{'default': '365日'}
{'default': 30},无,{'default': 30},无,"{'脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日'}"
无,无,无,无,无
{'default': 365},无,{'default': 365},无,"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '严重脑损伤': '180日', '严重多发性硬化': '180日'}"
无,1,无,{'default': 1},无
{'default': 180},无,{'default': 180},无,"{'终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', 'Ｉ型糖尿病': '180日', '植物人状态': '30日', '严重心肌炎': '180日'}"
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '多发性硬化症': '180日', '原发性心肌病': '180日', '植物人状态': '1月'}"
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '多发性硬化': '6月', '严重1型糖尿病': '6月', '严重的类风湿性关节炎': '180日', '植物人': '1月'}"
{'default': 180},不详,{'default': 180},不详,不详
{'default': 90},1,{'default': 90},{'default': 1},"{'脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '语言能力丧失': '12月', '1型糖尿病': '180日'}"
{'default': 180},不详,{'default': 180},不详,不详
不详,不详,不详,不详,不详
{'default': 90},不详,{'default': 90},不详,不详
{'default': 90},1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 365},1,{'default': 365},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化': '180日', '脊髓灰质炎': '180日'}"
无,1,无,无,无
{'default': 180},1,{'default': 180},无,"{'脊髓灰质炎': '180日', '胰岛素依赖型糖尿病I型糖尿病': '6月', '严重多发性硬化': '180日', '植物人状态': '30日', '语言能力丧失——三岁始理赔': '12月', '严重脑损伤': '180日', '瘫痪': '180日', '深度昏迷': '96时', '脑炎后遗症或脑膜炎后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑中风后遗症': '180日'}"
{'default': 180},"重大疾病,1,特定疾病或手术,不详",{'default': 180},{'重大疾病': 1},不详
{'default': 180},0,{'default': 180},{'default': 1},无
{'default': 90},1,{'default': 90},{'default': 1},"{'终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '瘫痪': '180日', '植物人': '1月', 'Ｉ型糖尿病': '6月', '严重心肌炎': '6月'}"
{'default': 30},1,{'default': 30},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或者称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或者脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月'}"
无,1,无,{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '多发性硬化': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或者称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或者脑膜炎后遗症': '180日', '深度昏迷': '96时', '严重脑损伤': '180日', '语言能力丧失': '12月'}"
无,无,无,无,无
{'default': 90},1,{'default': 90},{'default': 1},不详
{'default': 180},1,{'default': 180},{'default': 1},无
{'default': 180},"重大疾病保险金,1;,特种重大疾病保险金,1;",{'default': 180},{'default': 1},"{'重大疾病': '30日', '特种重大疾病': '30日'}"
{'default': 90},1,{'default': 180},{'default': 1},不详
{'default': 90},不详,{'default': 90},{'default': None},不详
{'default': 90},不详,{'default': 90},不详,不详
{'default': 90},不详,{'default': 90},不详,不详
无,无,无,无,无
{'default': 180},1,{'default': 180},{'default': 1},不详
{'default': 90},1,{'default': 90},{'default': 30},不详
{'default': 180},1,{'default': 180},{'default': 1},{'default': '180日'}
{'default': 90},1,{'default': 90},{'default': 1},"{'终末期肾病': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '1型糖尿病': '6月', '全身型幼年类风湿性关节炎': '6月', '严重心肌炎': '6月', '植物人': '30日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'急性心肌梗': '180日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '4日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重的多发性硬化': '180日', '严重的1型糖尿病': '180日', '严重的原发性心肌病': '180日'}"
无,1,无,{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '语言能力丧失': '12月', '持续植物人状态': '30日', '肌营养不良症': '90日', '严重多发性硬化': '180日', '严重心肌炎': '90日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '严重脑损伤': '180日', '植物人': '1月', '细菌性脑脊髓膜炎': '3月', 'Ｉ型糖尿病': '6月', '严重心肌炎': '6月'}"
{'default': 90},1,{'default': 10},{'default': 1},"{'急性心肌梗': '90日', '脑中风后遗症': '180日', '终末期肾病': '90日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重的多发性硬化': '180日', '严重脊髓灰质炎': '180日'}"
{'default': 180},1,{'default': 180},{'default': 1},无
无,1,无,{'default': 1},无
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '90日', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '严重多发性硬化': '180日', '脊髓灰质炎': '180日', '持续植物人状态': '180日'}"
{'default': 180},1,{'default': 180},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '瘫痪': '180日', '严重脑损伤': '180日', '语言能力丧失': '12月', '脊髓灰质炎': '180日', '持续植物人状态': '180日', '1型糖尿病': '180日', '特发性慢性肾上腺皮质功能减退': '180日'}"
{'default': 90},1,{'default': 90},{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', '脑炎后遗症或脑膜炎后遗症': '180日', '深度昏迷': '96时', '严重脑损伤': '180日', '语言能力丧失': '12月', '慢性复发性胰腺炎': '6月', '原发性心肌病': '180日', '全身性重症肌无力': '365日', '植物人状态': '30日', '严重心肌炎': '180日'}"
{'default': 90},不详,{'default': 90},{'default': 1},不详
{'default': 180},1,无,{'default': 1},"{'脑中风后遗症': '180日', '终末期肾病或称慢性肾功能衰竭尿毒症期': '90日', 'default': '180日', '严重脑损伤': '180日'}"
{'default': 90},5,{'default': 90},不详,不详
