投保范围_开始年龄结束年龄,保险期间,重大疾病保险金给付日_时间长度
"['30日', '17岁']",约定,['10']
不详,终身,['10']
"['18岁', '55岁']",约定,['10']
"['30日', '55岁']",['105岁'],['10']
"['30日', '60岁']",终身,['10']
"['30日', '60岁']",终身,['5']
"['30日', '60岁']",['70岁'],['10']
"['60日', '65岁']",终身,['10']
"['60日', '55岁']","['60岁', '70岁', '80岁', '20年', '30年']",['10']
"['18岁', '45岁']","['5岁', '30年']",['10']
"['60日', '60岁']","['60岁', '70岁']",['10']
"['28日', '18岁']",['1年'],['10']
"['60日', '55岁']",['15年'],
"['28日', '55岁']",终身,['30']
"['28日', '60岁']",终身,['10']
"['0岁', '50岁']",约定,['10']
"['0岁', '60']",约定,['60']
"['0岁', '60岁']",约定,['10']
"['28日', '65岁']",终身,['10']
"['0岁', '18岁']",['1年'],['60']
"['30日', '60岁']",约定,['30']
['0岁'],终身,
无,约定,['10']
"['28日', '50岁']","['10年', '20年', '30年', '60岁', '70岁']",['10']
"['18岁', '55岁']",终身,['10']
"['18岁', '55岁']",['20年'],['60']
不详,约定,['60']
"['0岁', '17岁']",['100岁'],
"['30日', '15岁']",['20年'],['60']
"['0岁', '65岁']",不详,
"['0岁', '60岁']",['1年'],
不详,约定,
"['60日', '55岁']",终身,['10']
"['18岁', '55岁']",终身,['10']
不详,终身,['60']
"['0岁', '60岁']",约定,['30']
不详,约定,['60']
不详,不详,['10']
不详,约定,['10']
"['0岁', '17岁']",['1年'],['60']
"['16岁', '60岁']",['1年'],['60']
不详,终身,['60']
"['16岁', '60岁']",['1年'],['60']
无,无,
"['30日', '18岁']",['25岁'],['10']
无,终身,
"['30日', '17岁']",['28岁'],['10']
"['30日', '60岁']",['1年'],['10']
"['18岁', '55岁']",['20年'],['30']
"['18岁', '55岁']",['15年'],['30']
"['18岁', '55岁']",['10年'],['30']
无,无,
不详,不详,['10']
"['18岁', '50岁']",['1年'],['10']
"['30日', '60岁']",约定,['10']
"['7日', '12岁']",不详,['10']
"['18岁', '55岁']",约定,['30']
"['30日', '65岁']",终身,['60']
不详,['1年'],['60']
"['18岁', '65岁']",终身,['60']
"['16岁', '55岁']",终身,
"['28日', '60岁']",终身,
"['30日', '60岁']","['20年', '30年', '80岁']",['30']
"['30日', '60岁']",终身,['30']
"['30日', '60岁']",约定,['60']
"['18岁', '50岁']",['1年'],['30']
"['30日', '70岁']",约定,['60']
"['28日', '65岁']",终身,
"['30日', '65岁']",['70岁'],['180']
['28日'],['1年'],
"['28日', '60岁', '0岁', '55岁']",约定,['10']
"['30日', '65岁']",约定,['10']
"['18岁', '50岁']",['70岁'],['10']
"['30日', '55岁']",['70岁'],['10']
"['3岁', '50岁']",['1年'],"['5', '30']"
"['30日', '61岁']",终身,['10']
不详,['1年'],['10']
"['0岁', '60岁']",终身,['10']
无,约定,['60']
"['30日', '60岁']",不详,['30']
"['30日', '55岁']",终身,['60']
"['30日', '60岁']",约定,['60']
"['30日', '17岁']",['1年'],['60']
"['28日', '50岁']",['1年'],"['5', '30']"
"['1岁', '17岁']",['1年'],"['5', '30']"
"['18岁', '50岁']",终身,['10']
"['3岁', '60岁']",['1年'],['10']
"['18日', '17岁']",['1年'],['10']
['18岁'],终身,['10']
不详,约定,['10']
['18岁'],终身,['10']
['18岁'],约定,['10']
['28日'],['1年'],['30']
"['3-', '50岁']","['20年', '30年', '60岁', '70岁']","['5', '30']"
"['28日', '55岁']",终身,['60']
"['30日', '50岁']",终身,['60']
不详,['1年'],['60']
"['28日', '50岁']","['20年', '30年']",['10']
"['28日', '50岁']","['20年', '30年']",['10']
"['28日', '60岁']",终身,['60']
"['28日', '17岁']",['22岁'],['60']
"['28日', '54岁']",终身,['10']
"['16岁', '50岁']","['20年', '20年', '70岁']",
"['28日', '55岁']",['80岁'],['10']
"['28日', '15岁']",['20年'],['60']
"['16岁', '65岁']",['1年'],['10']
"['28日', '64岁']",['1年'],['60']
"['28日', '17岁']",['20年'],['10']
"['16岁', '50岁']","['20年', '30年', '70岁']",['60']
"['60日', '65岁']",['1年'],['10']
"['60日', '65岁']",约定,['10']
"['30日', '55岁']",约定,['60']
"['28日', '60岁']",约定,['10']
"['28日', '60岁']",['80岁'],['10']
无,['1年'],['10']
"['30日', '65岁']",约定,['10']
"['16岁', '60岁']",['1年'],['10']
不详,['1年'],['10']
"['20岁', '35岁']",['1年'],['10']
不详,约定,
不详,约定,
"['0岁', '17岁']",['1年'],['10']
不详,['1年'],['10']
['18岁'],约定,['10']
"['30日', '60岁']",终身,['10']
"['30日', '60岁']",终身,['10']
不详,约定,['10']
不详,终身,['30']
"['30日', '60岁']",终身,['60']
"['28日', '65岁']",约定,['10']
"['30日', '55岁']",不详,['10']
"['30日', '60岁']",终身,"['10', '30']"
"['30日', '55岁']",不详,"['10', '30']"
"['30日', '60岁']",终身,
"['28日', '59岁']",约定,['60']
"['18岁', '61岁']",终身,['10']
"['28日', '59岁']",约定,['10']
"['18岁', '61岁']",约定,"['10', '30']"
不详,['1年'],['10']
无,['1年'],['10']
['18岁'],终身,['10']
"['28日', '59岁']",约定,['10']
"['28日', '60岁']",约定,['10']
"['30日', '60岁']",终身,['10']
不详,约定,['10']
"['18岁', '65岁']",终身,['10']
"['20岁', '35岁']",约定,['10']
"['7日', '17岁']",终身,['10']
"['30日', '17岁']",['1年'],['60']
"['28日', '17岁']",['1年'],['60']
"['28日', '50岁']","['6年', '10年', '20年', '60岁', '70岁', '85岁']",['60']
无,无,
无,['1年'],['60']
无,无,
无,无,
"['30日', '19岁']",['1年'],['60']
不详,约定,
"['28日', '55岁']",终身,['30']
"['30日', '17岁']",['1年'],['10']
"['30日', '45岁']",终身,['10']
"['30日', '45岁']",终身,
"['0岁', '60岁']",约定,
"['0岁', '60岁']",约定,
"['18岁', '55岁']",约定,['60']
不详,约定,['10']
不详,终身,
不详,约定,
"['18至', '45岁']",不详,
不详,"['60岁', '70岁', '100岁']",
"['0岁', '17岁']",['1年'],
"['30日', '60岁']",终身,
"['18岁', '60岁']",约定,['60']
"['18岁', '50岁']",['1年'],['60']
不详,终身,['60']
"['50岁', '75岁']","['10年', '20年']",['60']
"['20岁', '50岁']","['6月', '12月']",['60']
"['45岁', '75岁']","['10年', '20年']",['10']
"['30日', '60岁']","['60岁', '70岁', '80岁']",['10']
"['30日', '60岁']","['60岁', '70岁', '80岁']",['10']
不详,约定,
不详,约定,
不详,约定,
不详,约定,
"['30日', '60岁']","['10年', '15年', '20年', '30年', '60岁', '70岁', '80岁']",
不详,['1年'],"['5', '30']"
"['16至', '60岁']",['1年'],
"['30日', '60岁']","['10年', '15年', '20年', '30年', '60岁', '70岁', '80岁']",
不详,['5年'],
"['30日', '60岁']","['10年', '15年', '20年', '30年']","['5', '30']"
不详,['1年'],
"['18至', '55岁']",约定,
"['16岁', '60岁']",['1年'],['10']
不详,终身,['10']
"['30日', '55岁']","['30年', '70岁']",['10']
不详,['1年'],['60']
"['17岁', '40岁']",['1年'],['10']
"['30日', '55岁']",['70岁'],['10']
"['28日', '50岁']",终身,['10']
"['18岁', '55岁']",['70岁'],['10']
"['28日', '60岁']","['20年', '30年', '60、', '70、', '80岁']",['10']
"['28日', '60岁']","['20年', '30年', '60、', '70、', '80岁']",['10']
不详,终身,
不详,约定,['10']
"['28日', '55岁']","['10年', '15年', '20年']",
"['18岁', '55岁']",约定,['10']
"['28日', '50岁']",['10年'],['10']
"['28日', '15岁']",['20年'],['10']
"['18岁', '55岁']",约定,['10']
"['28日', '55岁']","['30年', '70岁']",['10']
不详,约定,['10']
不详,约定,['10']
"['50岁', '75岁']",['1年'],['60']
"['50岁', '75岁']","['5年', '10年']",['60']
"['28日', '60岁']",终身,['30']
"['18至', '50岁']",['1年'],['10']
不详,约定,
不详,终身,['10']
"['20岁', '70岁']",['1年'],['60']
不详,终身,['10']
"['30日', '50岁']","['10年', '20年', '70岁', '100岁']",['10']
"['50岁', '70岁']",约定,
不详,['1年'],['10']
"['28日', '60周']",终身,['10']
"['30日', '60岁']",['1年'],['10']
"['50岁', '70岁']","['10年', '20年', '80岁', '85岁']",['60']
不详,不详,['10']
"['30日', '71岁']",['1年'],['10']
不详,终身,['10']
不详,"['5年', '10年', '15年', '20年']",['60']
不详,['10年'],['10']
"['25日', '50岁']",终身,['60']
不详,['1年'],['10']
不详,终身,['10']
"['50岁', '70岁']",约定,['60']
不详,终身,['10']
不详,约定,['60']
"['18岁', '50岁']",['1年'],['10']
不详,约定,['60']
"['50岁', '75岁']",约定,['10']
不详,约定,['60']
"['28日', '60岁']",终身,['10']
"['18岁', '60岁']",['1年'],['60']
不详,不详,['10']
"['50岁', '75岁']","['10年', '20年', '80岁', '85岁']",['10']
"['45岁', '75岁']",约定,['60']
"['30日', '15岁']",['18岁'],['10']
"['18岁', '50岁']",['60岁'],['60']
不详,终身,['10']
"['50岁', '75岁']",终身,
"['60日', '17岁']",['1年'],['60']
"['20岁', '45岁']",无,
"['16岁', '65岁']",['1年'],['60']
"['30岁', '70岁']",终身,['60']
"['3岁', '75岁']",['30日'],['60']
"['18岁', '45岁']","['1年', '6年']",['10']
"['30日', '17岁']",['1年'],['60']
不详,['1年'],['60']
"['0岁', '60岁']",['1年'],
无,['1年'],
"['20岁', '40岁']",['1年'],
"['20岁', '40岁']",['1年'],
"['20岁', '40岁']",['1年'],
"['20岁', '40岁']",['1年'],
"['20岁', '40岁']",['1年'],
"['20岁', '40岁']",['1年'],
"['20岁', '40岁']",['1年'],
"['20岁', '40岁']",['1年'],
不详,终身,['10']
不详,终身,['10']
"['18岁', '65岁']",['1年'],
