填写时长,缴费方式_最低保金要求,保险人不同意续保下,续保_宽限期,续保_可续保年龄上限,无保险事故优惠_事故次数,保险事故通知时间_通知时间,保险事故通知时间_合作医院通知时间,合同终止与满期之间间隔限制_间隔,预授权_紧急情况通知时间,保单备案时间
3662.0,无,无,不详,不详,无,10日,无,无,无,2013
2626.0,无,无,无,无,无,20日,无,无,无,不详
2601.0,无,无,无,无,无,20日,无,无,无,不详
1833.0,无,无,无,无,0,10日,10日,无,无,不详
1181.0,无,0,不详,不详,无,无,无,无,无,2010
3843.0,无,无,不详,不详,无,20日,无,无,无,不详
5124.0,约定,无,无,无,无,10日,无,无,无,2010
5251.0,约定,无,无,65,无,<10日,无,无,无,不详
1338.0,无,无,30,22,无,10日,10日,无,无,2009
2740.0,约定,无,无,69,无,20日,无,180,无,不详
2031.0,无,60,60,80,无,10日,10日,无,48,2013
9843.0,无,30,60,64,无,10日,无,1460,48,2009
9993.0,无,60,无,64,0,<10日,<10日,无,无,2012
2478.0,无,无,60,64,0,10日,不详,1460,无,2011
2869.0,无,无,60,64,无,<10日,<10日,无,48,2009
2384.0,无,30,60,64,0,<10日,<10日,0,无,2012
1929.0,无,30,60,80,无,10日,3日,不详,48,2009
2735.0,无,30,60,64,无,<10日,<10日,无,24,2009
3324.0,无,30,60,65,无,<10日,<10日,无,48,2009
42024.0,不详,不详,不详,70,不详,<10日,不详,不详,不详,2009
2991.0,无,无,无,无,无,无,无,365,无,2009
1041.0,无,无,无,无,1,<10日,无,无,无,2009
468.0,无,无,无,无,1,<10日,无,无,无,2009
1660.0,无,无,无,无,无,10日,3日,无,无,2013
5031.0,无,无,无,无,无,无,无,30,无,2012
6132.0,无,无,无,无,无,无,无,无,无,2013
1458.0,不详,30,不详,不详,不详,10日,不详,无,不详,2010
8041.0,无,约定,无,无,无,<10日,<10日,无,无,2010
6466.0,不详,90,不详,不详,不详,10日,无,无,无,2010
1805.0,不详,不详,60,70,不详,10日,不详,无,48,2013
5282.0,0,无,60,70,无,10日,无,无,48,2013
,无,不详,无,无,无,24小时,不详,无,无,2009
258.0,无,无,无,无,无,无,无,无,无,2013
1314.0,无,无,无,无,无,无,无,无,无,2010
1405.0,无,不详,不详,80,无,不详,<24小时,无,无,2009
598.0,无,30,30,22,无,无,无,无,无,2011
502.0,无,30,30,18,无,无,无,无,无,2011
1556.0,无,不详,不详,65,不详,10日,不详,不详,无,2010
837.0,无,无,60,80,无,10日,3日,无,无,2013
1194.0,无,无,不详,64,不详,10日，3日,不详,无,无,2011
40.0,无,无,无,无,无,无,无,无,无,2011
1850.0,无,不详,60,65,不详,10日,不详,无,48,2009
1259.0,无,30,60,65,不详,10日,不详,无,48,2012
2971.0,无,不详,不详,约定,无,<10日,<10日,不详,无,2010
757.0,无,无,无,无,无,无,无,无,无,2009
666.0,无,无,60,70,无,无,无,无,24,2013
1520.0,无,无,不详,17,不详,不详,不详,无,无,2011
1361.0,无,无,60,65,无,10日,不详,无,无,2009
746.0,无,无,60,65,无,10日,无,无,无,2009
4752.0,无,无,无,70,0,<48小时,无,无,无,2010
2828.0,5000,0,60,64,无,<10日,<10日,60,无,2009
2738.0,无,约定,60,59,无,<10日,<10日,365,无,2009
897.0,无,0,60,64,无,10日,无,无,无,2012
828.0,无,无,无,不详,无,10日,无,无,无,2013
433.0,无,无,无,17,无,10日,无,无,无,2013
1514.0,无,无,无,64,无,10日,无,无,48,2010
845.0,无,无,60,64,无,10日,无,无,无,2009
2594.0,无,无,60,64,无,<10日,<10日,365,无,2009
2538.0,无,0,无,65,0,<5日,<5日,0,无,2009
6582.0,无,无,无,65,0,<5日,<5日,0,无,2009
769.0,无,30,60,64,无,10日,无,无,无,2011
8202.0,无,无,无,64,无,<10日,<10日,无,48,2009
5507.0,无,28,60,75,无,<10日,<10日,无,48,2013
1233.0,无,无,不详,不详,无,不详,无,无,无,2009
740.0,无,1,不详,65,0,10日,无,无,无,2009
853.0,无,1,不详,65,0,10日,无,无,无,2009
810.0,无,无,60,80,无,10日,无,无,无,2013
1116.0,无,无,60,80,无,10日,无,无,无,2013
522.0,无,无,无,无,无,10日,无,无,无,2013
524.0,无,无,无,无,无,10日,无,无,无,2013
2475.0,无,无,60,80,无,10日,10日,无,无,2013
2394.0,无,无,60,80,无,10日,10日,无,无,2013
416.0,无,无,无,70,无,无,无,无,无,2011
1504.0,无,无,无,70,无,无,无,无,无,2011
3622.0,无,无,无,无,无,<24小时,立即,无,无,2009
2254.0,无,无,无,无,无,<24小时,无,无,无,2013
3525.0,无,无,无,无,无,立即,立即,无,无,2012
963.0,无,无,60,70,无,不详,不详,无,无,2009
1627.0,无,无,60,70,0,立即,无,60,无,2009
4157.0,无,无,60,60,无,10日,无,无,无,2009
2659.0,无,无,60,70,0,立即,无,60,无,2009
932.0,无,90,60,80,0,立即,无,60,无,2010
1559.0,无,15,60,60,无,不详,不详,无,无,2013
1425.0,无,无,无,无,0,立即,无,无,无,2013
1253.0,无,60,无,70,无,10日,10日,无,无,2010
1517.0,10000,30,无,60,无,10日,10日,30,无,2011
1012.0,无,30,30,65,无,10日,10日,30,无,2012
736.0,无,60,0,70,无,10日,10日,无,无,2010
1220.0,无,无,无,不详,无,<10日,<10日,无,无,2013
3660.0,无,60,60,74,无,<10日,<10日,无,无,2010
985.0,无,无,60,64,无,10日,无,无,无,2010
745.0,无,无,无,约定,无,10日,无,无,无,2009
300.0,无,无,无,约定,无,10日,无,无,无,2009
1187.0,无,无,无,无,无,无,无,无,无,2014
861.0,无,无,60,80,无,10日,3日,无,48,2014
443.0,无,无,60,80,无,10日,3日,无,无,2014
436.0,无,无,60,80,无,10日,3日,无,无,2014
1711.0,无,无,无,64,无,10日,无,无,无,2014
324.0,无,无,10,64,无,10日,无,无,无,2014
518.0,无,无,60,80,无,10日,3日,无,48,2014
1251.0,350000,0,无,无,无,1日,1日,30,无,2009
1299.0,350000,无,无,无,0,24小时,24小时,30,无,2012
2472.0,无,30,60,99,0,10日,10日,无,48,2014
2476.0,无,无,无,无,无,<10日,<10日,无,无,2012
2597.0,无,30,60,99,10,<10日,<10日,无,48,2014
14938.0,无,不详,不详,无,无,<10日,<10日,无,无,2010
1701.0,不详,不详,不详,不详,无,10日,不详,无,无,2012
671.0,不详,不详,不详,不详,不详,10日,不详,无,无,2009
1316.0,无,不详,不详,不详,无,0,不详,无,24,2012
665.0,不详,不详,不详 ,不详 ,无,0,不详,无,24,2010
1024.0,无,90,不详,不详,不详,10日,不详,无,无,2010
5143.0,无,不详,无,无,无,<10日,<10日,无,无,2009
1079.0,无,不详,不详,不详,不详,10日,不详,无,无,2010
967.0,不详,不详,不详,不详,不详,10日,不详,无,无,2010
770.0,不详,不详,不详,不详,不详,0,不详,无,24,2012
2967.0,无,无,无,无,无,<10日,<10日,无,无,2011
2659.0,无,无,无,59,无,<10日,<10日,无,无,2009
1094.0,无,无,无,无,无,24小时,24小时,无,无,2009
742.0,无,30,无,无,0,10日,10日,无,无,2009
1893.0,无,30,无,69,无,不详,不详,无,无,2009
517.0,无,0,无,无,无,10日,10日,无,无,2010
690.0,无,30,0,70,无,10日,10日,无,无,2013
1890.0,无,0,0,80,无,48小时,48小时,无,48,2009
8824.0,无,30,不详,不详,0,<10日,<10日,无,无,2012
2900.0,无,不详,无,无,无,<10日,<10日,无,48,2013
861.0,无,无,无,无,无,无,无,无,无,2013
948.0,无,60,60,65,无,10日,10日,无,无,2009
473.0,无,60,60,65,无,10日,10日,60,无,2009
926.0,无,30,无,无,无,10日,10日,30,无,2011
463.0,无,0,不详,不详,无,10日,10日,0,无,2014
1037.0,无,30,60,80,无,10日,10日,60,无,2014
952.0,无,30,60,80,无,10日,10日,60,48,2014
650.0,无,30,60,80,无,10日,10日,60,48,2014
2619.0,无,不详,60,80,无,<10日,<10日,无,无,2014
1778.0,无,30,60,74,无,10日,10日,60,48,2014
1121.0,无,60,60,99,无,10日,10日,60,48,2015
3931.0,无,无,无,无,无,<10日,<10日,无,无,2015
931.0,无,60,60,99,无,10日,10日,60,48,2015
2123.0,无,不详,不详,99,无,<30日,<30日,无,48,2015
573.0,无,无,不详,不详,不详,10日,无,无,无,2015
2960.0,无,30,60,74,无,10日,无,无,48,2015
1917.0,100,不详,无,不详,无,10日,无,无,无,2014
1235.0,不详,无,60,99,无,10日,无,无,48,2015
634.0,无,无,60,99,无,10日,无,无,48,2015
627.0,不详,无,60,99,无,10日,无,无,48,2015
656.0,无,无,60,不详,无,10日,无,无,无,2015
2579.0,100000,无,无,不详,0,10日,无,无,无,2015
714.0,100000,无,不详,81,0,10日,无,无,无,2015
697.0,不详,无,不详,不详,无,10日,无,无,无,2015
3103.0,无,30,不详,71,无,10日,无,无,无,2015
857.0,无,30,30,71,0,5日,无,无,无,2016
2984.0,无,30,60,80,0,10日,10日,无,48,2015
1951.0,无,30,60,80,0,10日,10日,无,48,2015
1775.0,无,365,60,85,无,10日,10日,无,无,2015
1638.0,无,无,60,80,无,10日,无,无,无,2015
2113.0,不详,30,60,80,0,10日,无,无,48,2015
426.0,无,无,不详,不详,不详,10日,不详,不详,无,2015
495.0,无,30,不详,不详,无,10日,无,无,无,2015
443.0,无,无,不详,不详,无,10日,无,不详,无,2015
2201.0,无,30,无,69,0,10日,10日,无,48,2014
1669.0,无,30,不详,不详,无,10日,无,无,48,2015
1884.0,无,30,60,99,无,10日,无,无,无,2015
1675.0,无,30,60,79,无,10日,无,无,无,2016
574.0,无,30,60,80,无,10日,无,无,无,2016
1517.0,无,无,60,不详,无,10日,10日,无,无,2014
1013.0,无,30,无,不详,无,10日,无,无,无,2014
1226.0,无,30,无,69,无,不详,无,无,无,不详
487.0,无,30,不详,不详,无,10日,无,无,无,2013
476.0,无,30,不详,65,无,10日,无,无,无,2009
574.0,无,无,不详,64,无,10日,无,无,无,2010
1543.0,无,无,无,无,无,10日,10日,无,无,2010
1178.0,10,无,无,64,无,10日,10日,无,无,2013
360.0,无,无,60,无,无,10日,无,无,无,2010
536.0,无,无,不详,不详,无,3日,无,无,无,2009
1040.0,50,无,无,64,无,3日,无,无,无,2009
1426.0,无,无,无,不详,无,10日,无,无,无,2010
785.0,无,无,无,不详,无,10日,无,无,无,2010
883.0,无,0,无,不详,0,10日,无,无,无,2009
1050.0,无,30,无,不详,无,10日,无,无,无,2011
282.0,无,无,不详,不详,无,10日,无,无,无,2009
246.0,无,无,不详,不详,无,10日,无,无,无,2009
568.0,无,无,60,不详,无,10日,无,无,无,2013
580.0,无,30,60,64,无,10日,不详,无,无,2011
340.0,无,无,不详,不详,无,10日,无,无,无,2009
6950.0,无,30,无,不详,无,10日,无,无,无,2009
339.0,无,30,10,64,无,10日,无,无,无,2013
764.0,无,0,60,64,无,10日,无,无,无,2010
1126.0,10,无,60,64,无,10日,无,无,无,2009
314.0,无,0,60,64,无,10日,无,无,无,2012
536.0,10,无,60,64,无,10日,无,无,无,2010
404.0,无,30,60,60,无,10日,无,无,无,2013
416.0,不详,0,不详,不详,无,10日,无,无,72,2013
1323.0,50,30,无,64,0,10日,无,无,无,2009
813.0,无,无,无,80,无,10日,无,无,无,2015
346.0,不详,30,不详,不详,无,10日,无,无,无,2010
241.0,无,无,60,65,无,10日,无,无,无,2011
455.0,无,30,60,65,无,10日,无,无,无,2010
3292.0,不详,不详,不详,不详,无,10,不详,不详,无,2013
597.0,无,无,60,65,无,10日,3日,无,无,2011
451.0,无,30,60,65,无,10日,3日,无,无,2011
1425.0,无,无,无,无,无,10日,10日,无,无,2011
483.0,无,30,60,65,无,10日,3日,无,无,2011
594.0,无,无,60,70,无,不详,不详,无,无,2009
950.0,无,30,无,无,无,10日,10日,无,无,2011
1627.0,无,无,不详,不详,0,10,不详,不详,不详,2011
516.0,无,无,60,不详,无,不详,不详,无,无,2009
340.0,无,30,不详,不详,无,10日,不详,无,无,2009
462.0,无,不详,30,60,无,10日,无,无,无,2012
549.0,无,30,60,69,无,10日,3日,无,无,2009
3653.0,不详,不详,不详,不详,无,3,不详,无,无,2013
467.0,无,无,不详,不详,无,立即,无,无,无,2009
508.0,无,无,不详,不详,无,立即,无,无,无,2009
311.0,无,30,不详,不详,无,10日,无,无,无,2009
451.0,无,不详,不详,不详,无,24小时,无,无,无,2009
566.0,无,30,60,69,无,10日,3日,无,无,2013
427.0,无,不详,60,不详,无,10日,无,无,无,2012
364.0,无,30,不详,不详,无,10日,无,无,无,2013
477.0,无,无,不详,不详,无,10日,无,无,无,2012
618.0,无,无,60,65,无,10日,无,无,无,2009
450.0,无,30,60,不详,0,10日,无,无,无,2013
382.0,无,无,无,无,无,10日,无,无,无,2009
370.0,无,无,无,无,无,10日,无,无,无,2010
258.0,无,30,不详,不详,无,10日,无,无,无,2010
392.0,不详,无,不详,不详,无,10日,无,无,无,2009
312.0,无,无,无,无,无,10日,无,无,无,2009
515.0,无,无,60,60,无,10日,无,无,无,2010
411.0,无,无,60,64,0,19日,无,无,无,2010
414.0,无,无,60,60,0,10日,无,无,无,2010
309.0,无,无,不详,不详,无,10日,无,无,无,2010
523.0,无,无,无,60,无,10日,无,无,无,2010
355.0,无,无,60,64,0,10日,无,无,无,2012
355.0,无,无,60,64,无,10日,无,无,无,2012
333.0,无,无,60,64,无,10日,无,无,无,2012
251.0,无,无,60,64,无,10日,无,无,无,2012
278.0,无,无,60,64,无,10日,无,无,无,2012
398.0,无,无,无,64,无,10日,无,无,无,2012
1531.0,无,无,无,无,无,10日,无,无,无,2011
295.0,无,无,无,64,无,10日,无,无,无,2009
433.0,无,无,无,无,无,10日,3日,无,无,2014
455.0,无,无,无,无,无,不详,无,无,无,2015
747.0,无,0,无,无,无,10日,10日,无,无,2015
468.0,无,0,无,无,无,10日,10日,无,无,2015
570.0,无,无,60,46,无,10日,无,无,无,2015
441.0,不详,30,不详,不详,无,10日,无,无,无,2011
385.0,无,30,不详,80,无,10日,无,无,无,2015
1676.0,无,90,无,无,无,24小时,无,生效后不能终止,无,2009
548.0,无,不详,30,不详,无,10日,无,无,无,2012
1809.0,不详,无,不详,不详,无,10,不详,不详,无,2013
16.0,无,无,不详,不详,无,10日,无,无,无,2015
13.0,无,无,不详,59,无,10日,3日,无,无,2015
21.0,无,无,不详,64,无,10日,3日,无,无,2009
17.0,无,无,不详,60,无,10日,无,无,无,2011
20.0,无,30,不详,不详,无,10日,无,无,无,2011
19.0,无,无,不详,不详,无,10日,无,无,无,2013
26.0,无,30,60,66,无,10日,无,无,无,2014
1366.0,不详,无,无,无,无,24小时,无,不详,无,2009
