投保范围_投保人符合条件集合,保险责任_保险责任集合,保险责任_医院和病房限制条件集合,住院费用和门诊费用的范围,责任免除_免除范围集合,责任免除_退还条件集合,合作医院_合作医院集合,预授权_预授权限制范围集合
['在学校或者幼儿园注册，身体健康，能正常学习和生活'],['被保险人因遭受意外伤害事故并在医疗机构进行治疗的'],"['中华人民共和国境内（港、澳、台地区除外）', '国家卫生部门审核的二级以上（含二级）的综合或专科医院', '院必须具有系统的、充分的诊断设备，全套外科手术设备及提供二十四小时的医疗或护理服务']",['不详'],"['（1）投保人对被保险人的故意杀害、故意伤害', '（2）被保险人自杀、故意自伤、故意犯罪或者抗拒依法采取的刑事强制措施', '（3）被保险人酗酒（见7.3）、斗殴，主动吸食或注射毒品（见7.4），违反规定使用麻醉或精神药品', '（4）被保险人酒后驾驶（见7.5），无合法有效驾驶证驾驶（见7.6），或驾驶无有效行驶证（见7.7）的机动车', '（5）战争、军事行动、暴乱或武装叛乱', '（6）核爆炸、核辐射或核污染', '（7）被保险人从事潜水（见7.8）、跳伞、攀岩（见7.9）、蹦极、驾驶滑翔机或滑翔伞、探险活动（见7.10）、摔跤、武术比赛（见7.11）、特技表演（见7.12）、赛马、赛车等高风险运动', '（8）被保险人分娩、流产、宫外孕、不孕不育治疗、人工受精、怀孕、堕胎、节育（含绝育）、产前产后检查以及由以上原因引起的并发症', '（9）被保险人患精神和行为障碍（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类（ICD-10）》为准）', '（10）在诊疗过程中发生的医疗事故（见7.13）。']",无,不详,无
"['身体健康', '能正常学习', '全日制']",['意外事故的治疗费用'],['无'],"['诊疗费', '麻醉费', '手术费', '抢救费', '床位费', '药品费', '化验费', '检查费', '护理费', '治疗费', '材料费']","['1、投保人对被保险人的故意行为', '2、被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '3、被保险人自杀、故意自伤身体', '4、被保险人主动吸食或注射毒品', '5、被保险人酒后驾驶，无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '6、被保险人患艾滋病或感染艾滋病病毒期间', '7、战争、军事冲突、暴乱或武装叛乱', '8、核爆炸、核辐射或核污染', '9、被保险人因精神疾患、酗酒或受酒精、毒品、管制药物的影响而导致的意外', '10、被保险人因疾病、妊娠、流产、分娩(含剖腹产)、药物过敏、食物中毒、整容、医疗事故导致的伤害', '11、被保险人未遵医嘱，私自服用、涂用、注射药物', '12、被保险人进行潜水、滑水、滑雪、滑冰、滑翔伞、跳伞、攀岩运动、蹦极、探险13、被保险人从事井下作业、火药、爆竹制造等高风险工作', '用于矫形、整容、美容、心理咨询、牙齿修复、牙齿整形或安装及购买残疾用具（如轮椅、假肢、助听器、配镜等）的费用', '被保险人体检、疗养、康复、先天性疾病治疗费用', '被保险人妊娠、流产及分娩以及由以上一个或多个原因引起的并发症所发生的医疗费用', '16、被保险人的交通费、食宿费、生活补助费、误工补贴费', '17、保险单签发地所在城镇的社会基本医疗保险有关规定中不予支付的费用。']",无,不详,无
"['身体健康', '能正常参加学习的全日制在册学生及幼儿园儿童']","['被保险人因疾病住院治疗，其在住院治疗期间支出的符合社会基本医疗保险支付范围', '享有社会基本医疗保险的被保险人发生属于保险责任范围内的各项费用应先向社会基本医疗保险申请支付，对于基本医疗保险免赔比例部分属于我公司保险责任', '不享有社会基本医疗保险的被保险人发生的属于保险责任范围内的各项费用已通过其他途径获得补偿后扣除已获补偿后的剩余部分']",['中国境内（不包括香港、澳门、台湾）按国家卫生部医院等级分类中二级以上（含）公立医院，投保人与本公司协商共同指定的医院或医疗机构'],"['诊疗费', '麻醉费', '手术费', '抢救费', '床位费', '药品费', '化验费', '检查费', '护理费', '治疗费', '材料费']","['投保人对被保险人的故意行为', '被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '被保险人自杀、故意自伤身体', '被保险人主动吸食或注射毒品', '被保险人酒后驾驶，无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '被保险人患艾滋病或感染艾滋病病毒期间', '战争、军事冲突、暴乱或武装叛乱', '核爆炸、核辐射或核污染', '被保险人因精神疾患、酗酒或受酒精、毒品、管制药物的影响而导致的意外', '被保险人因疾病、妊娠、流产、分娩(含剖腹产)、药物过敏、食物中毒、整容、医疗事故导致的伤害', '被保险人未遵医嘱，私自服用、涂用、注射药物', '被保险人进行潜水、滑水、滑雪、滑冰、滑翔伞、跳伞、攀岩运动、蹦极、探险活动、武术比赛、特技表演、赛马、赛车等高风险运动', '被保险人从事井下作业、火药、爆竹制造等高风险工作', '用于矫形、整容、美容、心理咨询、牙齿修复、牙齿整形或安装及购买残疾用具（如轮椅、假肢、助听器、配镜等）的费用', '被保险人体检、疗养、康复、先天性疾病治疗费用', '被保险人妊娠、流产及分娩以及由以上一个或多个原因引起的并发症所发生的医疗费用', '被保险人的交通费、食宿费、生活补助费、误工补贴费', '保险单签发地所在城镇的社会基本医疗保险有关规定中不予支付的费用']",无,不详,无
"['身体健康', '能正常参加学习的全日制在册学生及幼儿园儿童']",['意外伤害事故'],['指定或认可的医院'],"['诊疗费', '麻醉费', '手术费', '抢救费', '床位费', '药品费', '化验费', '检查费', '护理费', '治疗费', '材料费', '']","['投保人对被保险人的故意行为', '被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '被保险人自杀、故意自伤身体', '被保险人主动吸食或注射毒品', '被保险人酒后驾驶，无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '被保险人患艾滋病或感染艾滋病病毒期间', '战争、军事冲突、暴乱或武装叛乱', '8、核爆炸、核辐射或核污染', '9、被保险人因精神疾患、酗酒或受酒精、毒品、管制药物的影响而导致的意外', '被保险人因疾病、妊娠、流产、分娩(含剖腹产)、药物过敏、食物中毒、整容、医疗事故导致的伤害', '被保险人未遵医嘱，私自服用、涂用、注射药物', '被保险人进行潜水、滑水、滑雪、滑冰、滑翔伞、跳伞、攀岩运动、蹦极、探险活动、武术比赛、特技表演、赛马、赛车等高风险运动', '被保险人从事井下作业、火药、爆竹制造等高风险工作用于矫形、整容、美容、心理咨询、牙齿修复、牙齿整形或安装及购买残疾用具（如轮椅、假肢、助听器、配镜等）的费用', '被保险人体检、疗养、康复、先天性疾病治疗费用', '被保险人妊娠、流产及分娩以及由以上一个或多个原因引起的并发症所发生的医疗费用', '被保险人的交通费、食宿费、生活补助费、误工补贴费', '保险单签发地所在城镇的社会基本医疗保险有关规定中不予支付的费用']",无,列明,无
['1岁-65岁'],['意外伤害事故'],"['投保人对被保险人的故意杀害、故意伤害或故意造成疾病', '被保险人故意自伤、故意犯罪、抗拒依法采取的刑事强制措施', '被保险人主动吸食、注射毒品', '被保险人未遵医嘱，私自服用、涂用、注射药物', '被保险人酒后驾驶、无有效驾驶执照驾驶及驾驶无有效行驶证的机动车', '被保险人参加潜水、跳伞、攀岩、飞行、驾驶滑翔机或滑翔伞、探险、武术比赛、特技、赛马、赛车等高风险运动', '被保险人感染艾滋病病毒（HIV呈阳性）或患艾滋病（AIDS）', '被保险人怀孕、流产、妊娠（含宫外孕）、分娩（含剖腹产）、计划生育或绝育手术，以及上述原因导致的并发症', '被保险人的牙齿治疗、镶补或安装假齿、假眼、假肢及其他附属品，矫形和整容手术', '被保险人的健康检查、疗养、康复或特别护理、特需病房', '十', '被保险人以捐献身体器官为目的的医疗行为', '十', '战争、军事行动、暴乱、武装叛乱', '十', '核爆炸、核辐射或核污染', '十', '被保险人在中国大陆以外的国家或地区发生的意外伤害医疗费用。']",['无'],"['一、投保人对被保险人的故意杀害、故意伤害或故意造成疾病', '二、被保险人故意自伤、故意犯罪、抗拒依法采取的刑事强制措施', '三、被保险人主动吸食、注射毒品', '四、被保险人未遵医嘱，私自服用、涂用、注射药物', '五、被保险人酒后驾驶、无有效驾驶执照驾驶及驾驶无有效行驶证的机动车', '六、被保险人参加潜水、跳伞、攀岩、飞行、驾驶滑翔机或滑翔伞、探险、武术比赛、特技、赛马、赛车等高风险运动', '七、被保险人感染艾滋病病毒（HIV呈阳性）或患艾滋病（AIDS）', '八、被保险人怀孕、流产、妊娠（含宫外孕）、分娩（含剖腹产）、计划生育或绝育手术，以及上述原因导致的并发症', '九、被保险人的牙齿治疗、镶补或安装假齿、假眼、假肢及其他附属品，矫形和整容手术', '十、被保险人的健康检查、疗养、康复或特别护理、特需病房', '十一、被保险人以捐献身体器官为目的的医疗行为', '十二、战争、军事行动、暴乱、武装叛乱', '十三、核爆炸、核辐射或核污染', '十四、被保险人在中国大陆以外的国家或地区发生的意外伤害医疗费用。']",无,不详,无
['无'],['被保险人在接受具有合法家政服务资质的家政服务公司按家政服务合同约定内容提供的家政服务时因接受服务而遭受意外事故，需经医院进行必要的治疗'],['在中国境内(不包括香港、澳门、台湾)按国家卫生部医院等级分类中二级以上(含)公立医院或投保人与本公司协商共同指定的医院或医疗机构。'],"['自事故发生之日起一百八十日内支出的必须且合理的实际医疗费用一百元以上部分', '实际的医疗费用是指符合当地城镇职工基本医疗保险有关规定的实际支出的费用。给付范围包括诊疗费', '麻醉费', '手术费', '抢救费', '床位费', '药品费', '化验费', '检查费', '护理费', '治疗费', '材料费等在医院内支出的费用', '若被保险人按政府的规定取得赔偿，或从其他社会福利机构', '任何医疗保险', '其他组织或个人取得补偿，本公司仅对剩余的且符合当地城镇职工基本医疗保险有关规定的医疗费用中超过一百元以上的部分给付保险金。']","['1、不具有合法家政服务资质的家政服务公司提供服务导致的意外事故2、被保险人要求家政服务人员提供家政合同约定服务事项以外的服务而导致的被保险人的意外伤害', '3、投保人对被保险人的故意行为', '4、被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '5、被保险人自杀、故意自伤身体', '6、被保险人主动吸食或注射毒品', '7、被保险人酒后驾驶，无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '8、被保险人患艾滋病或感染艾滋病病毒期间', '9、战争、军事冲突、暴乱或武装叛乱', '10、核爆炸、核辐射或核污染', '11、被保险人因精神疾患、酗酒或受酒精、毒品、管制药物的影响而导致的意外', '12、被保险人因疾病、妊娠、流产、分娩(含剖腹产)、药物过敏、食物中毒、整容、医疗事故导致的伤害', '13、被保险人未遵医嘱，私自服用、涂用、注射药物', '14、被保险人进行潜水、滑水、滑雪、滑冰、滑翔伞、跳伞、攀岩运动、蹦极、探险活动、武术比赛、特技表演、赛马、赛车等高风险运动', '15、被保险人从事井下作业、火药、爆竹制造等高风险工作', '16、用于矫形、整容、美容、心理咨询、牙齿修复、牙齿整形或安装及购买残疾用具(如轮椅、假肢、助听器、配镜等)的费用', '17、被保险人体检、疗养、康复、先天性疾病治疗费用', '被保险人妊娠、流产及分娩以及由以上一个或多个原因引起的并发症所发生的医疗费用', '18、被保险人的交通费、食宿费、生活补助费、误工补贴费', '19、保险单签发地所在城镇的职工基本医疗保险有关规定中不予支付的费用。']",无,不详,无
"['社会基本医疗保险', '公费医疗保障']",['意外伤害医疗保险金'],['指定或认可的医院'],"['实际支付符合当地社会保险机构规定的医疗保险金范围的合理且必要的医疗费用', '扣除被保险人已经从工作单位', '当地基本医疗保险', '大额医疗费救助制度以及其他渠道获得的补偿']","['投保人对被保险人的故意杀害、故意伤害或故意造成疾病', '被保险人故意自伤、故意犯罪、抗拒依法采取的刑事强制措施', '被保险人主动吸食、注射毒品', '被保险人未遵医嘱，私自服用、涂用、注射药物', '被保险人酒后驾驶、无有效驾驶执照驾驶及驾驶无有效行驶证的机动车', '被保险人参加潜水、跳伞、攀岩、飞行、驾驶滑翔机或滑翔伞、探险、武术比赛、特技表演、赛马、赛车等高风险运动', '被保险人感染艾滋病病毒（HIV呈阳性）或患艾滋病（AIDS）', '被保险人怀孕、流产、妊娠（含宫外孕）、分娩（含剖腹产）、计划生育或绝育手术，以及上述原因导致的并发症', '被保险人的牙齿治疗、镶补或安装假齿、假眼、假肢及其他附属品，矫形和整容手术', '被保险人的健康检查、疗养、康复或特别护理、特需病房', '被保险人以捐献身体器官为目的的医疗行为', '战争、军事行动、暴乱、武装叛乱', '核爆炸、核辐射或核污染', '被保险人在中国大陆以外的国家或地区发生的意外伤害医疗费用。']",无,列明,无
"['身体健康', '从事的职业和活动符合本合同要求的人，经审核同意后']",['意外伤害事故'],['指定或认可的医院'],['且实际支付符合当地社会保险机构规定的3/6医疗保险金范围的合理且必要的医疗费用'],"['一、投保人对被保险人的故意杀害、故意伤害或故意造成疾病', '二、被保险人故意自伤、故意犯罪、抗拒依法采取的刑事强制措施', '三、被保险人主动吸食、注射毒品', '四、被保险人未遵医嘱，私自服用、涂用、注射药物', '五、被保险人酒后驾驶、无有效驾驶执照驾驶及驾驶无有效行驶证的机动车', '六、被保险人参加潜水、跳伞、攀岩、飞行、驾驶滑翔机或滑翔伞、探险、武术比赛、特技表演、赛马、赛车等高风险运动', '七、被保险人感染艾滋病病毒（HIV呈阳性）或患艾滋病（AIDS）', '八、被保险人怀孕、流产、妊娠（含宫外孕）、分娩（含剖腹产）、计划生育或绝育手术，以及上述原因导致的并发症', '九、被保险人的牙齿治疗、镶补或安装假齿、假眼、假肢及其他附属品，矫形和整容手术', '十、被保险人的健康检查、疗养、康复或特别护理、特需病房', '十一、被保险人以捐献身体器官为目的的医疗行为', '十二、战争、军事行动、暴乱、武装叛乱', '十三、核爆炸、核辐射或核污染', '十四、被保险人在中国大陆以外的国家或地区发生的意外伤害医疗费用。']",无,列明,无
['参加了当地城镇居民基本医疗保险的 身体健康者'],['住院医疗费用保险金，门诊特殊疾病医疗费用保险金'],['本公司指定医院或国家卫生部医院等级分类中的二级或二级以上的医院，但不包括主要作为康复、护理、疗养、戒酒、戒毒或相类似的医疗机构。'],"['住院医疗费用，恶性肿瘤放射治疗', '化学治疗', '肾透析', '肾移植后服抗排异药', '血友病以及再生障碍性贫血的门诊医疗费用', '']","['投保人对被保险人的故意杀害、故意伤害', '被保险人故意犯罪或者抗拒依法采取的刑事强制措施', '被保险人醉酒，斗殴，故意自伤，服用、吸食或注射毒品', '被保险人酒后驾驶，无合法有效驾驶证驾驶，或驾驶无有效行驶证的机动车', '被保险人未遵医嘱，私自服用、涂用、注射药物', '被保险人从事高风险运动，包括但不限于潜水、跳伞、攀岩、探险、蹦极、驾驶滑翔机、武术比赛、摔跤、特技表演、赛马、赛车等', '未告知的既往症及保险单中特别约定的除外疾病', '被保险人患先天性疾病、先天性畸形、遗传性疾病', '被保险人不孕不育治疗、人工受精、怀孕、分娩（含难产）、流产、堕胎、节育（含绝育）、产前产后检查以及上述原因引起的并发症', '被保险人疗养、矫形、视力矫正手术、美容、牙科保健、康复治疗、健康体检、非意外事故所致整容手术或发生医疗事故', '被保险人患精神疾病（以世界卫生组织颁布的《疾病和有关健康问题的国际统计分类（ICD-10）》为准）', '战争、军事冲突、暴乱或武装叛乱', '核爆炸、核辐射或核污染']",无,不详,无
"['被保险人年龄不超过六十九周岁', '', '投保人未曾提出不续保本合同的申请', '本公司未做出不同意续保的决定']","['住院费用保险金', '手术费用保险金']",['约定'],"['住院床位费:被保险人住院治疗期间实际发生的床位费，不包括观察病房费', '陪床费', '家庭病床费', '住院医疗费:被保险人住院治疗期间实际发生的且属于本合同签发地社会基本医疗保险支付范围内的医疗费，包括药费', '治疗费', '护理费', '检查检验费各项费用。此外，我们还对被保险人住院治疗期间支出的', '本合同签发地社会基本医疗保险支付范围之外的自费药物费用也承担给付责任，但给付最高金额不超过当次住院医疗费限额的10%', '住院前后门急诊费用:被保险人住院治疗期间前后各30天内因与该次住院相同原因而实际发生的且属于本合同签发地社会基本医疗保险支付范围内的门急诊费用']","['您、受益人对被保险人的故意行为', '被保险人犯罪、拒捕', '被保险人服用、吸食或注射毒品被保险人在本合同生效日起两年内或最后复效日起两年内自杀或故意自伤', '被保险人酒后驾驶、无有效驾驶证件驾驶或驾驶无有效行驶证件的机动交通工具', '被保险人因患艾滋病或感染艾滋病病毒', '战争、军事行动、暴乱、武装叛乱、核爆炸、核辐射或核污染', '被保险人妊娠、流产、分娩、不孕症、人工受精、堕胎、节育、避孕及绝育手术,以及由以上一个或多个原因引起的并发症，或因药物过敏、食物中毒、整容、其他内外科治疗或手术导致的伤害', '被保险人进行潜水、滑水、滑雪、滑冰、滑翔伞、跳伞、攀岩运动、蹦极、探险活动、武术比赛、特技表演、赛马、赛车等高风险运动或从事海上作业、井下作业、火药、爆竹制造等高风险工作', '用于矫形、整容、美容、心理咨询、牙齿修复、牙齿整形或安装及购买残疾用具(如轮椅、假肢、助听器、配镜等)的费用', '被保险人体检、疗养、康复治疗，先天性疾病、先天性畸形或缺陷的治疗，患精神疾患、心理疾病、职业病、性病', '被保险人投保前已经发现而投保后治疗的疾病']",无,不详,无
