,无,不详,约定
填写时长,0.0,0.0,0.0
身故保险金_给付时间,0.3875338753387534,0.3116531165311653,0.0
犹豫期_时间长度,0.23306233062330622,0.11382113821138211,0.04065040650406504
犹豫期_工本费大小,0.3875338753387534,0.28184281842818426,0.0
续保_宽限期,0.38482384823848237,0.27371273712737126,0.0
续保_可续保年龄上限,0.3712737127371274,0.42005420054200543,0.0
宽限期,0.16802168021680217,0.07046070460704607,0.0
保单贷款政策_可贷款最长期限,0.5311653116531165,0.10840108401084012,0.0
退保_解除合同_退还时长,0.024390243902439025,0.05962059620596206,0.0027100271002710027
首个重大疾病保险金给付日,0.15176151761517614,0.6422764227642277,0.0
保单备案时间,0.0,0.013550135501355014,0.0
